YYYY,MM,시군구,번지,단지명,area_x,price,floor,birth_year,도로명,age_c,join_key,지역,구,법정동,아파트이름,code,area_y,room,toilet,세대수,건물수,y_c,park,per_park,heat,용적률,건폐율,f_high,f_low,LotAdr,RoadAdr,lati,long
2016.0,9.0,서울특별시 강서구 화곡동,1095,그랜드아이파크,123.48,59900.0,12.0,2010.0,화곡로,6.0,서울시 강서구 화곡동 1095 123.48,서울특별시,강서구,화곡동,그랜드아이파크,27553.0,123.48,3.0,2.0,159.0,3.0,2010.0,311.0,1.95,개별난방,,,18.0,17.0,서울시 강서구 화곡동 1095,,37.554781,126.851253
2017.0,3.0,서울특별시 강남구 도곡동,467,타워팰리스1,137.24,161500.0,44.0,2002.0,언주로30길,15.0,서울시 강남구 도곡동 467 137.24,서울특별시,강남구,도곡동,타워팰리스1차,3038.0,137.24,3.0,2.0,1297.0,4.0,2002.0,3695.0,2.84,지역난방,919.0,49.0,66.0,29.0,서울시 강남구 도곡동 467,서울시 강남구 언주로30길 56,37.488556,127.05466399999999
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.741296096311803,2.0,,,,,,,,,,,,,,
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.741296096311803,2.0,,,,,,,,,,,,,,
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.741296096311803,2.0,,,,,,,,,,,,,,
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.741296096311803,2.0,,,,,,,,,,,,,,
2018.0,7.0,서울특별시 은평구 응암동,76-2,삼영노블레스,67.99,32700.0,6.0,2010.0,은평로,8.0,서울시 은평구 응암동 76-2 67.99,서울특별시,은평구,응암동,삼영,119937.0,67.99,3.0,1.0,12.0,1.0,2010.0,,,개별난방,,,7.0,7.0,서울시 은평구 응암동 76-2,서울시 은평구 은평로 200-1,37.600934,126.930074
2013.0,4.0,서울특별시 강남구 역삼동,763-16,래미안그레이튼,59.97,64000.0,5.0,2009.0,도곡로43길,4.0,서울시 강남구 역삼동 763-16 59.97,서울특별시,강남구,역삼동,래미안그레이튼3차,394.0,59.97,3.0,2.0,476.0,8.0,2009.0,582.0,1.22,지역난방,271.0,21.0,21.0,11.0,서울시 강남구 역삼동 763-16,서울시 강남구 도곡로43길 20,37.496731,127.04830700000001
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.741296096311803,2.0,,,,,,,,,,,,,,
2017.0,5.0,서울특별시 금천구 시흥동,209,현대(209),82.53,27000.0,2.0,1996.0,금하로23라길,21.0,서울시 금천구 시흥동 209 82.53,서울특별시,금천구,시흥동,현대(209),3237.0,82.53,3.0,2.0,197.0,1.0,1996.0,116.0,0.58,개별난방,322.0,21.0,17.0,5.0,서울시 금천구 시흥동 209,서울시 금천구 금하로23라길 31,37.453948,126.910473
